001 第五十回　　黑闥戰敗投突厥
074 第七十四回　　唐太宗省疾魏徵　乾太子娛樂元昌
075 第七十五回　　魏王定計奪東宮　無忌預謀立太子
076 第七十六回　　貞觀中君臣論治　高麗國部將專權
077 第七十七回　　唐太宗御駕徵東　薛仁貴洛陽投軍
078 第七十八回　　李世勣大戰蓋牟郡　王大度智取卑沙城
079 第七十九回　　程名振單馬擒麗將　王道宗潰圍退遼兵
080 第八十回　　薛仁貴斬將立功　董世雄部兵解圍
081 第八十一回　　李思摩臂傷流矢　唐太宗白岩鏖兵
082 第八十二回　　董世雄詐獻降書　魯揭裡開城納款
083 第八十三回　　李世勣兵進安市城　薛仁貴智取黃龍坡
084 第八十四回　　高延壽列陣戰唐兵　薛仁貴奪圍救主將
085 第八十五回　　高延壽納降李世勣　蓋蘇文保舉束頂漢
086 第八十六回　　王道宗築土攻安市　程名振持兵出綠水
087 第八十七回　　盧漢三建安死節　蓋蘇文鐵勒徵兵
088 第八十八回　　白袍將百步穿楊　唐太宗獨契英雄
089 第八十九回　　張總管二路取石城　薛仁貴三箭定天山
090 第九十回　　長孫臣勸回鑾駕　唐太宗坐享太平
